Distance_(pixels),Gray_Value
1529,2198.287
1530,2153.730
1531,2356.305
1532,2611.321
1533,2626.406
1534,2367.276
1535,2008.781
1536,1866.284
1537,1900.533
1538,1998.261
1539,2072.295
1540,2129.437
1541,2125.140
1542,2116.215
1543,2413.417
1544,2480.285
1545,2089.428
1546,1713.761
1547,1530.930
1548,1660.421
1549,2293.804
1550,2790.479
1551,2764.599
1552,2473.525
1553,2109.367
1554,1980.113
1555,1844.205
1556,1836.375
1557,2008.203
1558,2061.972
1559,2110.742
1560,2214.698
1561,2356.324
1562,2748.457
1563,2999.941
1564,2845.836
1565,2547.376
1566,2556.282
1567,2855.381
1568,2967.842
1569,2899.395
1570,2692.759
1571,2523.726
1572,2500.445
1573,2488.515
1574,2433.253
1575,2247.155
1576,2101.208
1577,2058.048
1578,2067.977
1579,2054.473
1580,1991.734
1581,2005.866
1582,2143.820
1583,2149.955
1584,1980.456
1585,1809.779
1586,1756.498
1587,1847.476
1588,1945.083
1589,1918.144
1590,1945.002
1591,2074.500
1592,2191.818
1593,2405.702
1594,2546.678
1595,2671.205
1596,2810.110
1597,2855.394
1598,2689.988
1599,2426.114
1600,2373.300
1601,2714.858
1602,3279.390
1603,3532.225
1604,3468.677
1605,3184.048
1606,2658.502
1607,2070.478
1608,1951.521
1609,2044.099
1610,1977.324
1611,1842.170
1612,1984.476
1613,2197.369
1614,2138.643
1615,2012.245
1616,2016.005
1617,2045.961
1618,2083.792
1619,2126.860
1620,2103.626
1621,2152.029
1622,2298.104
1623,2492.278
1624,2978.685
1625,3248.471
1626,2954.747
1627,2645.625
1628,2544.854
1629,2531.829
1630,2361.004
1631,2108.411
1632,2052.000
1633,2300.486
1634,2759.500
1635,3031.644
1636,3011.773
1637,2878.954
1638,2882.820
1639,2850.682
1640,2710.483
1641,2351.799
1642,2028.602
1643,1848.456
1644,1838.572
1645,1856.437
1646,1849.352
1647,1887.214
1648,1979.109
1649,2012.713
1650,1959.887
1651,1837.246
1652,1872.372
1653,2174.266
1654,2721.894
1655,3126.809
1656,3077.074
1657,2648.831
1658,2310.573
1659,2127.580
1660,1999.284
1661,1917.461
1662,1982.195
1663,2032.876
1664,1946.787
1665,1874.352
1666,1836.034
1667,1893.601
1668,2066.821
1669,2268.744
1670,2248.469
1671,1972.913
1672,1657.092
1673,1701.104
1674,2362.120
1675,3091.097
1676,3108.280
1677,2583.520
1678,2157.090
1679,2092.627
1680,2134.014
1681,2059.708
1682,1904.058
1683,1852.662
1684,1827.656
1685,1796.386
1686,1827.167
1687,2079.918
1688,2552.711
1689,2628.950
1690,2427.924
1691,2130.233
1692,1939.403
1693,1913.921
1694,1855.983
1695,1871.658
1696,1972.581
1697,1943.150
1698,1892.603
1699,1847.007
1700,1852.123
1701,1890.963
1702,1929.816
1703,1901.929
1704,1831.800
1705,2084.604
