"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         227,      -8.263701618,      -6.100782734,      -6.542948389,      -2.240160238
          0,           0,         228,      -8.291639197,      -6.109132088,      -6.574425725,      -2.268102974
          0,           0,         229,      -8.321455154,      -6.118071816,      -6.608581393,      -2.297924211
          0,           0,         230,      -8.352989458,      -6.127640415,      -6.645420765,      -2.329463813
          0,           0,         231,      -8.385998544,      -6.137876605,       -6.68486066,      -2.362478059
          0,           0,         232,      -8.420083378,      -6.148792578,      -6.726669889,      -2.396567611
          0,           0,         233,      -8.454664742,      -6.160399609,      -6.770358476,      -2.431152761
          0,           0,         234,      -8.488919442,      -6.172699202,      -6.815038542,      -2.465409662
          0,           0,         235,      -8.521748866,      -6.185678363,      -6.859220426,      -2.498239002
          0,           0,         236,       -8.55177698,      -6.199307377,      -6.900631032,      -2.528263947
          0,           0,         237,      -8.577508728,       -6.21355424,      -6.936243049,      -2.553988995
          0,           0,         238,      -8.597575977,      -6.228376611,      -6.962754279,      -2.574046009
          0,           0,         239,      -8.611002744,      -6.243697922,      -6.977634359,      -2.587459767
          0,           0,         240,      -8.617579247,      -6.259446279,      -6.980253776,      -2.594021906
          0,           0,         241,      -8.617861829,      -6.275531645,      -6.972213935,      -2.594290516
          0,           0,         242,      -8.613032831,      -6.291851545,      -6.956549334,      -2.589449299
          0,           0,         243,      -8.604576602,      -6.308294424,      -6.936532896,      -2.580983367
          0,           0,         244,      -8.593941811,       -6.32472439,      -6.914872103,      -2.570341533
          0,           0,         245,      -8.582391119,       -6.34100762,      -6.893468373,      -2.558786236
          0,           0,         246,      -8.570907367,      -6.357007015,      -6.873518013,      -2.547299965
          0,           0,         247,      -8.560200674,      -6.372577469,      -6.855706567,      -2.536592343
          0,           0,         248,      -8.550764002,      -6.387583675,      -6.840388748,      -2.527155944
          0,           0,         249,      -8.542921611,      -6.401904108,      -6.827720484,       -2.51931474
          0,           0,         250,      -8.536879791,         -6.415442,       -6.81773916,       -2.51327478
          0,           0,         251,      -8.532753269,      -6.428109257,      -6.810421885,      -2.509150602
          0,           0,         252,      -8.530613441,      -6.439867494,      -6.805716462,      -2.507013498
          0,           0,         253,      -8.530493857,      -6.450705396,      -6.803559226,      -2.506896911
