x,ux
-25.222138104155874,0.0637967262468965
-25.182292704307287,0.0638318449416526
-25.1424473044587,0.0642756153799606
-25.10260190461011,0.0650791464107927
-25.062756504761524,0.0660690057838909
-25.022911104912936,0.0670589007815526
-24.983065705064348,0.067903179188183
-24.94322030521576,0.0684924189693263
-24.903374905367173,0.068859579971187
-24.863529505518585,0.0691710241556419
-24.82368410567,0.0692207109219226
-24.783838705821413,0.0692207109219226
-24.743993305972825,0.0691139726045882
-24.70414790612424,0.0689721797167122
-24.66430250627565,0.0686860313473548
-24.624457106427062,0.0682224631515918
-24.584611706578475,0.0677410897989622
-24.544766306729887,0.0672366198542921
-24.5049209068813,0.0667881588484489
-24.46507550703271,0.0664291297469632
-24.425230107184124,0.0661736683766552
-24.385384707335536,0.0660592850279812
-24.34553930748695,0.0660435437208301
-24.30569390763836,0.0660674264282398
-24.265848507789773,0.0662898780779543
-24.226003107941185,0.0666850566115684
-24.1861577080926,0.0673413204465909
-24.146312308244013,0.0681864443428631
-24.106466908395426,0.0690884559171966
-24.06662150854684,0.0699768185337454
-24.02677610869825,0.0707963378687026
-23.986930708849663,0.0715045185676845
-23.947085309001075,0.0720876404237794
-23.907239909152487,0.0725610077494919
-23.8673945093039,0.0729688686277328
-23.827549109455312,0.0734067182635773
-23.787703709606724,0.0738522461803542
-23.747858309758136,0.0743573763669356
-23.70801290990955,0.074921429581643
-23.66816751006096,0.0753688503502303
-23.628322110212373,0.0756768389520201
-23.588476710363786,0.0757966016097914
-23.5486313105152,0.0758041112677896
-23.508785910666614,0.0757966016097914
-23.468940510818022,0.07580978744825
-23.42909511096944,0.0758410705649962
-23.38924971112085,0.0761602999040742
-23.349404311272263,0.0767340121254477
-23.309558911423675,0.0771296965278643
-23.269713511575087,0.0771296965278643
-23.2298681117265,0.0771296965278643
-23.190022711877912,0.0769379508769664
-23.150177312029324,0.0766311853851921
-23.110331912180737,0.0764191147332985
-23.07048651233215,0.0763203254435795
-23.03064111248356,0.076291222550123
-22.990795712634974,0.0762837081421831
-22.950950312786382,0.076310873059382
-22.9111049129378,0.0763968850056379
-22.87125951308921,0.0764894613714723
-22.831414113240623,0.0766890491762949
-22.79156871339204,0.0769464390229769
-22.75172331354345,0.0772846016301008
-22.711877913694863,0.0774295461043664
-22.672032513846275,0.0776026814832613
-22.632187113997688,0.0774009752043923
-22.5923417141491,0.0772674258405238
-22.552496314300512,0.0769675667641381
-22.512650914451925,0.0768199860721692
-22.472805514603337,0.0766879329399701
-22.43296011475475,0.0764996214969992
-22.39311471490616,0.0762109057840947
-22.35326931505757,0.0761105490135791
-22.31342391520899,0.0757612525428577
-22.2735785153604,0.0761041128424295
-22.23373311551181,0.0762294970563305
-22.193887715663227,0.0766963925863298
-22.15404231581464,0.0774011509522392
-22.11419691596605,0.0783505503210185
-22.074351516117463,0.0793565214967288
-22.03450611626888,0.0805925038545408
-21.994660716420288,0.0819466742644149
-21.9548153165717,0.0831987114255374
-21.914969916723116,0.0842700085509306
-21.875124516874525,0.0851349872039595
-21.835279117025937,0.0857386288086641
-21.79543371717735,0.0862907667943466
-21.75558831732876,0.086687690931575
-21.71574291748017,0.0868982606018573
-21.67589751763159,0.0870639908214739
-21.636052117783,0.0869361651374837
-21.59620671793441,0.0869156976382338
-21.556361318085827,0.0868982606018573
-21.51651591823724,0.0868702881945511
-21.47667051838865,0.0868422540380013
-21.436825118540064,0.0866390800271138
-21.39697971869148,0.0863906058212051
-21.35713431884289,0.0861137079635184
-21.3172889189943,0.085824023262485
-21.277443519145717,0.0855087838745257
-21.237598119297125,0.0853897550827636
-21.197752719448538,0.0853182684585559
-21.15790731959995,0.0852475513249212
-21.11806191975136,0.0850599951226977
-21.07821651990277,0.0847912244154442
-21.03837112005419,0.084420220710661
-20.998525720205603,0.0840673997831182
-20.95868032035701,0.0837035874902321
-20.918834920508427,0.0836625527429544
-20.87898952065984,0.0836241019640201
-20.83914412081125,0.0836295928967499
-20.799298720962664,0.0836891999164962
-20.75945332111408,0.0837849967428762
-20.71960792126549,0.0840148369270729
-20.6797625214169,0.0844920873302133
-20.639917121568317,0.0851007068739325
-20.60007172171973,0.085867276232587
-20.560226321871134,0.0867159578352733
-20.52038092202255,0.0875646441879014
-20.48053552217396,0.0882775914534875
-20.44069012232537,0.0887337948644774
-20.40084472247679,0.0888552271267943
-20.360999322628203,0.0889322426832662
-20.32115392277961,0.0890874565317202
-20.281308522931027,0.0897557685941383
-20.24146312308244,0.0906340138346364
-20.20161772323385,0.091405722630327
-20.161772323385264,0.0919564688830597
-20.12192692353668,0.0920453355443422
-20.08208152368809,0.0920447418016162
-20.0422361238395,0.0919552243983061
-20.002390723990917,0.0918709794304026
-19.96254532414233,0.0916441364594867
-19.922699924293735,0.0915068773910662
-19.88285452444515,0.0915819644711642
-19.843009124596563,0.0916644329608315
-19.80316372474797,0.0916644329608315
-19.76331832489939,0.0916644329608315
-19.723472925050803,0.0916625804835265
-19.683627525202212,0.0914548987778633
-19.643782125353628,0.0909173051139964
-19.60393672550504,0.090161385124875
-19.56409132565645,0.0894671906295462
-19.524245925807865,0.0890077477582433
-19.48440052595928,0.0890077477582433
-19.44455512611069,0.089044878053355
-19.4047097262621,0.0892317407640745
-19.364864326413517,0.0893912723096318
-19.32501892656493,0.0899103032009138
-19.28517352671634,0.090576017045163
-19.24532812686775,0.0913705825608328
-19.205482727019163,0.0923069765889422
-19.16563732717058,0.0931607216295956
-19.12579192732199,0.0939831835535027
-19.085946527473403,0.0945112488341031
-19.046101127624816,0.0949573396189842
-19.006255727776228,0.0953883065891493
-18.96641032792764,0.0962193849074958
-18.926564928079053,0.0974579939831275
-18.886719528230465,0.0988036239976312
-18.84687412838188,0.099953428161224
-18.80702872853329,0.1004519155541872
-18.767183328684705,0.1006362560458068
-18.727337928836118,0.1006362560458068
-18.687492528987526,0.1004519155541872
-18.64764712913894,0.0999989278538011
-18.60780172929035,0.0993011234026984
-18.567956329441763,0.0986991252778592
-18.52811092959318,0.0982114772521015
-18.48826552974459,0.098228197047265
-18.448420129896004,0.0987283754195118
-18.408574730047416,0.098930865438779
-18.36872933019883,0.0994348722641229
-18.32888393035024,0.0998015535218609
-18.289038530501653,0.1000043332875784
-18.249193130653065,0.1002854680933577
-18.20934773080448,0.1005123870633425
-18.16950233095589,0.1007002425118999
-18.129656931107306,0.1008299301730787
-18.089811531258714,0.1009946059056139
-18.049966131410127,0.1012535537332088
-18.01012073156154,0.1016042941862398
-17.97027533171295,0.1020160571416759
-17.930429931864364,0.1024754525135607
-17.89058453201578,0.1029556668803892
-17.85073913216719,0.1033448438625291
-17.810893732318604,0.1035459183991376
-17.771048332470016,0.103656311796693
-17.73120293262143,0.1036877611614026
-17.69135753277284,0.1037110216264355
-17.651512132924253,0.1036112490987623
-17.611666733075666,0.103313109501311
-17.571821333227078,0.1029583125979761
-17.53197593337849,0.1026512098603335
-17.492130533529902,0.1026512098603335
-17.452285133681315,0.102704855703111
-17.412439733832727,0.1028185313104557
-17.37259433398414,0.1033345792382824
-17.33274893413555,0.1042268938064152
-17.292903534286964,0.1055112780712489
-17.25305813443838,0.1067033567169313
-17.213212734589792,0.107302794623136
-17.173367334741204,0.1075054698901337
-17.133521934892617,0.1076981560295096
-17.09367653504403,0.1078303231603121
-17.05383113519544,0.1081862647996227
-17.013985735346854,0.1084774694820345
-16.974140335498266,0.1088244812307464
-16.934294935649678,0.109214973946767
-16.89444953580109,0.1096633304538905
-16.854604135952503,0.1101132259421597
-16.814758736103915,0.1106772435323035
-16.774913336255327,0.1111297657383924
-16.73506793640674,0.1115009451910224
-16.695222536558152,0.1118269621969438
-16.655377136709568,0.112013805907896
-16.61553173686098,0.1120731231811921
-16.575686337012392,0.1120537671683252
-16.535840937163805,0.1119910109371603
-16.495995537315217,0.1119389325751794
-16.45615013746663,0.1118572430759686
-16.41630473761804,0.1117844549677056
-16.376459337769454,0.1117423182339285
-16.336613937920866,0.1117423182339285
-16.29676853807228,0.1119983543471952
-16.25692313822369,0.1126763895404939
-16.217077738375103,0.1134770777311539
-16.177232338526515,0.1142141927006582
-16.137386938677928,0.1148251397158632
-16.09754153882934,0.1152649653274998
-16.057696138980752,0.1154363384779841
-16.017850739132168,0.115637427264418
-15.97800533928358,0.1159340136308981
-15.93815993943499,0.1162170056639242
-15.898314539586403,0.1164980692205763
-15.858469139737815,0.1167976385505117
-15.81862373988923,0.1171642865586571
-15.778778340040642,0.1176022881926395
-15.738932940192054,0.117999706323816
-15.699087540343466,0.1181438955573341
-15.65924214049488,0.1182972616784249
-15.619396740646293,0.1184700360617424
-15.579551340797703,0.1186960857923764
-15.539705940949116,0.119245055566873
-15.49986054110053,0.1196165390157788
-15.460015141251942,0.1202426478452343
-15.420169741403354,0.1205294873311248
-15.380324341554768,0.1210505084480242
-15.34047894170618,0.1212916724934907
-15.300633541857591,0.1217155952999548
-15.260788142009003,0.1226047559067272
-15.220942742160418,0.1237372465324306
-15.18109734231183,0.1248810705192873
-15.141251942463242,0.125856262072083
-15.101406542614654,0.126546153120134
-15.061561142766068,0.1275538152751278
-15.02171574291748,0.1283165419308599
-14.981870343068891,0.129298098405678
-14.942024943220304,0.1304121022578653
-14.902179543371718,0.1321007730697295
